央视频道,#genre#
CCTV1,https://live.chinacert.cftest5.cn/cnmg/live/608807420$咪咕
CCTV2,https://live.chinacert.cftest5.cn/cnmg/live/631780532$咪咕
CCTV3,https://live.chinacert.cftest5.cn/cnmg/live/624878271$咪咕
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/631780421$咪咕
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/608807419$咪咕
CCTV4,https://live.chinacert.cftest5.cn/cnmg/live/608807416$咪咕
CCTV5,https://live.chinacert.cftest5.cn/cnmg/live/641886683$咪咕
CCTV5+,https://live.chinacert.cftest5.cn/cnmg/live/641886773$咪咕
CCTV6,https://live.chinacert.cftest5.cn/cnmg/live/624878396$咪咕
CCTV7,https://live.chinacert.cftest5.cn/cnmg/live/673168121$咪咕
CCTV8,https://live.chinacert.cftest5.cn/cnmg/live/624878356$咪咕
CCTV9,https://live.chinacert.cftest5.cn/cnmg/live/673168140$咪咕
CCTV10,https://live.chinacert.cftest5.cn/cnmg/live/624878405$咪咕
CCTV11,https://live.chinacert.cftest5.cn/cnmg/live/667987558$咪咕
CCTV12,https://live.chinacert.cftest5.cn/cnmg/live/673168185$咪咕
CCTV13,https://live.chinacert.cftest5.cn/cnmg/live/608807423$咪咕
CCTV14,https://live.chinacert.cftest5.cn/cnmg/live/624878440$咪咕
CCTV15,https://live.chinacert.cftest5.cn/cnmg/live/673168223$咪咕
CCTV16,http://183.184.193.133:9003/hls/17/index.m3u8$山西联通
CCTV17,https://live.chinacert.cftest5.cn/cnmg/live/673168256$咪咕
CCTV4欧洲,https://live.chinacert.cftest5.cn/cnmg/live/608807419$咪咕
CCTV4美洲,https://live.chinacert.cftest5.cn/cnmg/live/608807416$咪咕
重温经典,http://8.138.7.223/tv/cwjd.php
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8
CHC动作电影,http://live.chinacert.cftest5.cn/cnmg/live/644368714$咪咕
CHC家庭影院,http://live.chinacert.cftest5.cn/cnmg/live/644368373$咪咕
CHC影迷电影,http://live.chinacert.cftest5.cn/cnmg/live/952383261$咪咕
发现之旅,https://live.chinacert.cftest5.cn/cnmg/live/624878970$咪咕
中学生,https://live.chinacert.cftest5.cn/cnmg/live/708869532$咪咕

CCTV1,http://183.184.193.133:9003/hls/1/index.m3u8$山西联通
CCTV2,http://183.184.193.133:9003/hls/2/index.m3u8$山西联通
CCTV3,http://183.184.193.133:9003/hls/3/index.m3u8$山西联通
CCTV4,http://183.184.193.133:9003/hls/4/index.m3u8$山西联通
CCTV5,http://183.184.193.133:9003/hls/5/index.m3u8$山西联通
CCTV5+,http://183.184.193.133:9003/hls/6/index.m3u8$山西联通
CCTV6,http://183.184.193.133:9003/hls/7/index.m3u8$山西联通
CCTV7,http://183.184.193.133:9003/hls/8/index.m3u8$山西联通
CCTV8,http://183.184.193.133:9003/hls/9/index.m3u8$山西联通
CCTV9,http://183.184.193.133:9003/hls/10/index.m3u8$山西联通
CCTV10,http://183.184.193.133:9003/hls/11/index.m3u8$山西联通
CCTV12,http://183.184.193.133:9003/hls/13/index.m3u8$山西联通
CCTV13,http://183.184.193.133:9003/hls/14/index.m3u8$山西联通
CCTV14,http://183.184.193.133:9003/hls/15/index.m3u8$山西联通
CCTV17,http://183.184.193.133:9003/hls/18/index.m3u8$山西联通

CCTV1,http://124.165.251.82:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$吕梁联通
